id,voter,author,permlink,weight,value,timestamp
NULL,ahsanul-hoqe,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,atik125,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,rihab-werda,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,algg,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,eathekaos,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,sharker,upvoteinvest,btc-usd-general-technical-analysis-on-the-movement-of-bitcoin-prices-for-february-2019,10000,0,2019-02-03 11:15:39
NULL,enginewitty,phototalent,dailyphototalentselectiona16-jzaji78hbw,1000,0,2019-02-03 11:15:39
NULL,mohima,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,minnowbuilder,fitinfun,aliens-in-south-florida-1980-a-weekend-freewrite,240,0,2019-02-03 11:15:39
NULL,fun2learn,fitinfun,aliens-in-south-florida-1980-a-weekend-freewrite,160,0,2019-02-03 11:15:39
NULL,ghazi-ayadi,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,julian2013,davidke20,rek1z781,7500,0,2019-02-03 11:15:39
NULL,joannewong,davidke20,rek1z781,1500,0,2019-02-03 11:15:39
NULL,rex-nix,ivanm7,thewoods--1549159367179,10000,0,2019-02-03 11:15:39
NULL,pheonike,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,joefubuzerofive,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,shainemata,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,aburafi83,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,lifeontheblock,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,inongaceh,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,5200,0,2019-02-03 11:15:39
